,DataPesquisa,de,para,Ida,Volta,preco
108,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-22,1981
109,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-16,1998
110,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-17,1999
111,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-18,2000
112,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-19,2016
113,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-20,2001
114,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-21,2001
115,25/01/2020 15:13:22,POA,LIM,2020-07-02,2020-07-22,2001
116,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-16,2005
117,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-17,2005
118,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-18,2006
119,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-19,2013
120,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-20,2006
121,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-21,2006
122,25/01/2020 15:13:22,POA,LIM,2020-07-03,2020-07-22,2006
123,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-16,2007
124,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-17,2005
125,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-18,1995
126,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-19,2012
127,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-20,1999
128,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-21,1998
129,25/01/2020 15:13:22,POA,LIM,2020-07-04,2020-07-22,1998
130,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-16,2006
131,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-17,2005
132,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-18,2004
133,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-19,2008
134,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-20,2008
135,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-21,2005
136,25/01/2020 15:13:22,POA,LIM,2020-07-05,2020-07-22,2005
137,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-16,1984
138,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-17,1987
139,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-18,1994
140,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-19,2001
141,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-20,1991
142,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-21,1992
143,25/01/2020 15:13:22,POA,LIM,2020-07-06,2020-07-22,1989
144,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-16,1989
145,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-17,1990
146,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-18,1994
147,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-19,1998
148,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-20,1987
149,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-21,1986
150,25/01/2020 15:13:22,POA,LIM,2020-07-07,2020-07-22,1986
151,25/01/2020 15:13:30,POA,CTG,2020-07-03,2020-07-19,2256
152,25/01/2020 15:13:30,POA,CTG,2020-07-04,2020-07-19,2307
153,25/01/2020 15:13:39,POA,ADZ,2020-07-03,2020-07-19,2321
154,25/01/2020 15:13:39,POA,ADZ,2020-07-04,2020-07-19,2321
155,25/01/2020 15:13:49,POA,FRA,2020-07-03,2020-07-19,5127
156,25/01/2020 15:13:49,POA,FRA,2020-07-04,2020-07-19,5017
157,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-16,4207
158,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-17,4258
159,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-18,4399
160,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-19,4367
161,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-20,4290
162,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-21,4305
163,25/01/2020 15:13:50,POA,LIS,2020-07-01,2020-07-22,4276
164,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-16,4345
165,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-17,4306
166,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-18,4477
167,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-19,4524
168,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-20,4300
169,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-21,4308
170,25/01/2020 15:13:50,POA,LIS,2020-07-02,2020-07-22,4247
171,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-16,4197
172,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-17,4437
173,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-18,4510
174,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-19,4420
175,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-20,4332
176,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-21,4413
177,25/01/2020 15:13:50,POA,LIS,2020-07-03,2020-07-22,4208
178,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-16,4118
179,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-17,4557
180,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-18,4609
181,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-19,4398
182,25/01/2020 15:13:50,POA,LIS,2020-07-04,2020-07-20,4296
